species,family,id,site,date,smear,quality,comments,total,rbc,thromb,heterophil,eosinophil,basophil,lymphocyte,monocyte,parasite,smudge,unidentified,FOV,comments
CPIC,em,222,D,15-06-2018,1,NA,,3428,3240,69,5,42,17,39,0,0,16,0,Full Tiff,80 grid cells
CPIC,em,18,A,06-10-2018,1,good,edges are clumped,2222,2015,28,6,36,31,69,6,0,16,15,Part Tiff,
CPIC,em,23,A,06-10-2018,1,fair,clumping throughout,1674,1368,34,0,73,33,154,4,3,NA,8,Full Tiff,"Very difficult to differentiate lymphs vs thrombs; Cells with clear cytoplasm, slight blue, yet see normal basos so counted as unknown"
CPIC,em,42,A,06-09-2018,2,decent,"Scrapes, light",2288,2150,37,3,27,12,58,1,0,NA,NA,Part Tiff,"Very light, diff to tell if large purple cells are large lymphs or monos"
CPIC,em,57,C,06-12-2018,2,decent,"RBCs bit shriveled, scrape in center",2118,2005,35,2,16,24,36,0,2,NA,NA,Full Tiff,
CPIC,em,60,C,15-06-2018,1,NA,,2126,2007,49,1,34,15,14,0,0,0,6,Part Tiff,"Dense, 3 unidentified possibly hets or eosins?"
CPIC,em,63,C,15-06-2018,1,NA,,2436,2286,17,2,28,20,75,0,1,2,6,Full Tiff,"Unidentified = fuzzy, purple blobs - precursor RBCs?"
CPIC,em,93,F,26-06-2018,1,decent,Scrapes,2192,2021,43,9,39,23,57,0,0,NA,NA,Part Tiff,
CPIC,em,121,C,06-12-2018,1,decent,"Short, scrapes",2107,2002,5,3,18,6,62,4,0,5,2,Part Tiff,"Monos = small, azurophilic?"
CPIC,em,142,D,16-06-2018,2,fair,"density changes, scrapes",2180,2101,24,8,16,9,21,1,0,NA,NA,Part Tiff,
CPIC,em,171,F,26-06-2018,1,decent,"scrapes, see parasites",2190,2060,29,7,25,15,54,0,0,NA,NA,Part Tiff,
CPIC,em,182,F,28-06-2018,1,fair,RBCs very shriveled,2089,2000,21,1,27,4,35,1,0,NA,NA,Part Tiff,
CPIC,em,193,F,29-06-2018,1,good,,2294,2060,20,3,57,20,117,0,0,15,2,Part Tiff,A couple thrombocytes seem acidophilic
CPIC,em,194,F,29-06-2018,1,fair,"scrapes, very dense at start of slide",2265,2004,81,13,52,25,90,0,2,NA,NA,Part Tiff,
CPIC,em,201,C,06-12-2018,1,good,,1791,1747,0,1,7,4,25,0,0,7,0,Full Tiff,Low number of WBCs and many early RBCs
CPIC,em,202,C,06-12-2018,2,decent,Scrapes,718,661,7,0,12,8,30,0,0,NA,NA,Full Tiff,
CPIC,em,204,C,06-12-2018,1,decent,Changing density,2227,2101,25,1,21,18,61,0,2,NA,NA,Part Tiff,
CPIC,em,205,F,28-06-2018,1,fair,RBCs very shriveled,701,654,NA,1,6,10,NA,0,0,1,29,Full Tiff,Cannot tell apart thrombs and lymphs
CPIC,em,207,C,06-12-2018,1,good,,1666,1523,23,1,23,19,75,2,0,NA,NA,Full Tiff,
CPIC,em,222,D,NA,1,NA,,2115,2002,29,3,29,12,40,0,0,NA,NA,Part Tiff,
CPIC,em,224,D,15-06-2018,1,decent,"RBCs bit shriveled, scrape in center",1426,1316,4,6,43,8,40,0,0,4,5,Full Tiff,Much of smear scraped off; Potential RBC precursors in unidentified
CPIC,em,225,F,29-06-2018,2,good,RBCs bit shriveled,1660,1554,17,2,13,18,56,0,0,NA,NA,Part Tiff,
CPIC,em,241,D,15-06-2018,1,decent,"light smear, light scrapes",1948,1728,45,12,26,22,108,0,3,3,4,Full Tiff,Began focusing every 2 FOV (not 3); good parasite pics; Unidentified = light eosin? or tiny monos?
CPIC,em,244,D,15-06-2018,1,decent,RBCs bit shriveled,1652,1601,0,2,15,13,21,0,1,NA,NA,Full Tiff,
CPIC,em,247,E,21-06-2018,2,fair,"Short smear, light stain",2114,2006,5,3,38,7,44,2,2,8,1,Part Tiff,Unidentified = RBC precursor or small mono?
CPIC,em,260,C,14-06-2018,1,fair,Scrapes,1879,1799,0,2,29,6,42,0,0,0,1,Full Tiff,Unidentified = large lymph w/pink particles? or small mono?
CPIC,em,400,C,06-12-2018,2,fair,Changing density,1277,1227,3,4,13,12,18,0,0,NA,NA,Full Tiff,
CPIC,em,420,C,15-06-2018,1,good,,2124,2010,29,8,20,8,47,0,0,1,1,Part Tiff,Unidentified = free nucleus of RBC precursor?
