species,CPIC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Count of recap,Column Labels,,,,,,,,,,,,,,,
Row Labels,A,C,D,E,F,G,H,I,J,K,L,M,N,O,Grand Total,
5,,,,,,,,,,1,,,,,1,
6,,1,,,,,,,,,,,,,1,
8,,,,,,,,,,1,,,,,1,
11,,,,,,,,,,1,,,,,1,
17,2,,,,,,,,,,,,,,2,
18,1,,,,,,,,,,,,,,1,
23,1,,,,,,,,,,,,,,1,
24,2,,,,,,,,,,,,,,2,
26,1,,,,,,,,,,,,,,1,
27,1,,,,,,,,,,,,,,1,
30,2,,,,,,,,,,,,,,2,
34,1,,,,,,,,,,,,,,1,
36,,1,,,,,,,,,,,,,1,
37,1,,,,,,,,,,,,,,1,
42,1,,,,,,,,,,,,,,1,
44,1,,,,,,,,,,,,,,1,
46,1,,,,,,,,,,,,,,1,
47,2,,,,,,,,,,,,,,2,
48,,1,,,,,,,,,,,,,1,
49,,,,,,,,,1,,,,,,1,
50,1,,,,,,,,,,,,,,1,
51,,1,,,,,,,,,,,,,1,
52,,1,,,,,,,,,,,,,1,
54,,1,,,,,,,,,,,,,1,
56,,1,,,,,,,,,,,,,1,
57,,1,,,,,,,,,,,,,1,
60,,2,,,,,,,,,,,,,2,
63,,2,,,,,,,,,,,,,2,
64,,1,,,,,,1,,,,,,,2,Site I
65,,1,,,,,,,,,,,,,1,
67,,1,,,,,,,,,,,,,1,
70,2,,,,,,,,,,,,,,2,
71,2,,,,,,,,1,,,,,,3,
72,3,,,,,,,,,,,,,,3,
73,1,,,,,,,,,,,,,,1,
74,2,,,,,,,,,,,,,,2,
75,,1,,,,,,,,,,,,,1,
76,1,,,,,,,,,,,,,,1,
77,1,,,,,,,,,,,,,,1,
78,1,,,,,,,,,,,,,,1,
79,1,,,,,,,,,,,,,,1,
81,,1,,,,,,,,,,,,,1,
82,,,,1,,,,,,,,,,,1,
83,,,,,1,,,,,,,,,,1,
84,,,,1,,,,,,,,,,,1,
85,,,,1,,,,,,,,,,,1,
86,,,,,1,,,,,,,,,,1,
87,,,,1,,,,,,,,,,,1,
88,,,,,,,,,1,,,,,,1,
89,,,,,,,,,,,1,,,,1,
90,2,,,,,,,,,,,,,,2,
91,,,,1,,,,,,,,,,,1,
93,,,,,1,,,,,,,,,,1,
94,,,,1,,,,,,,,,,,1,
95,,,,,1,,,,,,,,,,1,
96,,,,,1,,,,,,,,,,1,
97,,,,1,,,,,,,,,,,1,
