Site,CPIC,CSER,GINS,PRUB,SODO,TSCR,Grand Total
A,0.448979592,2.333333333,NA,NA,10,NA,1.137931034
C,1.625,21.42857143,1,NA,NA,NA,5.075
D,1.166666667,14.33333333,NA,NA,23,NA,4.034482759
E,2.85106383,10.33333333,NA,2.666666667,17.22727273,NA,7.505747126
F,0.741935484,11.28571429,NA,1.75,9.666666667,NA,1.507042254
G,1.634920635,7.833333333,NA,2.432432432,14,NA,2.587155963
H,1.333333333,NA,NA,NA,NA,NA,1.333333333
I,2.214285714,NA,NA,NA,NA,NA,2.214285714
J,1.173913043,7.833333333,NA,2.5,1.176470588,NA,1.816666667
K,1.8,4.5,NA,NA,2,NA,1.947368421
L,2.074074074,1,NA,NA,NA,NA,2.035714286
M,1.719512195,2.125,NA,1,2.5,0,1.760416667
N,0.978723404,8.166666667,NA,0.259259259,3.181818182,NA,1.326086957
O,0.849056604,4.666666667,NA,1.285714286,1.545454545,NA,1.107692308
