line,page,date,site,trap,day,trap_id,species,subspecies,sex,A,B,carapace,car_max,plastron,depth,mass,leeches,recap,mark_1,mark_final,picture,blood,smear,comments
1,1,6/7/18,A,8,,8,CPIC,marginata,F,NA,NA,145,146,137,54,420,0,N,300,300,Y,N,N,right front claw damage
2,1,6/7/18,A,8,,8,CPIC,marginata,M,NA,NA,109,109,99,38,170,0,N,30,30,Y,Y,Y,mark 20 wide; break line scar diagonally across plastron
3,1,6/7/18,A,8,,8,CPIC,marginata,F,NA,NA,151,151,142,55,460,1,N,27,27,Y,Y,Y,hole in nose
4,1,6/7/18,A,8,,8,CPIC,marginata,M,NA,NA,135,135,123,46,270,0,N,24,24,Y,Y,Y,
5,1,6/7/18,A,8,,8,CPIC,marginata,F,NA,NA,145,145,137,52,380,1,N,70,70,Y,Y,Y,tiny scar on both abdominal scutes; scar on tail
6,1,6/7/18,A,7,,7,CSER,NA,M,133,156,390,397,288,162,15200,NA,N,100,200,Y,N,N,marked 2nd rear scute from center line
7,1,6/7/18,A,7,,7,CSER,NA,M,99,104,299,314,219,115,6260,6,N,200,400,N,N,N,
8,1,6/7/18,A,7,,7,CPIC,marginata,M,NA,NA,115,115,105,40,185,0,N,90,90,Y,Y,Y,
9,1,6/7/18,A,7,,7,CPIC,marginata,F,NA,NA,145,146,138,50,370,0,N,72,72,Y,Y,Y,mark 2 wide; damage to marginal scutes 1 and 1000
10,1,6/7/18,A,7,,7,CPIC,picta,M,NA,NA,136,138,123,39,240,1,N,71,71,Y,Y,Y,large scratch in right femoral scute; file scraped lower marginal scutes
11,1,6/7/18,A,7,,7,CPIC,marginata,M,NA,NA,130,131,117,42,270,0,N,74,74,Y,Y,Y,
12,1,6/7/18,A,5,,5,CSER,NA,F,93,56,262,274,188,105,4230,0,N,400,700,Y,N,N,
13,1,6/7/18,A,5,,5,CPIC,picta,M,NA,NA,123,123,112,41,220,0,N,77,77,Y,N,N,
14,1,6/7/18,A,5,,5,CPIC,marginata,F,NA,NA,121,121,116,46,270,1,N,100,100,Y,N,N,indent/scar rear
15,1,6/7/18,A,3,,3,CPIC,marginata,F,NA,NA,135,135,129,49,330,0,N,110,110,Y,N,N,damage to marginal scute 1000
16,1,6/7/18,A,1,,1,CSER,NA,M,96,90,278,289,209,115,5270,1,N,110,220,Y,N,N,
17,1,6/7/18,A,1,,1,CPIC,picta,F,NA,NA,147,147,139,53,405,1,N,200,200,Y,Y,N,"damage to marginal scutes 1, 2, 10, 20, 400, 1000, and 2000"
18,1,6/7/18,A,1,,1,CPIC,picta,M,NA,NA,134,137,127,48,290,0,N,120,120,Y,Y,N,claws not as long as most males
19,1,6/7/18,A,1,,1,CPIC,picta,M,NA,NA,139,140,123,43,280,0,N,47,47,Y,N,N,"scar from end of plastron, beside right pectoral/abdominal into the carapace become crack; claws not extremely long"
20,1,6/7/18,A,1,,1,SODO,NA,F,NA,NA,109,109,84,46,200,0,N,4,4,Y,Y,N,
21,1,6/8/18,A,1,,1,CPIC,marginata,M,NA,NA,112,112,103,39,180,0,N,17,17,Y,Y,Y,missing 2 claws on front left limb
22,1,6/8/18,A,4,,4,CPIC,marginata,M,NA,NA,131,131,117,42,270,0,R,74,74,Y,Y,N,plastron blotch faint
23,1,6/8/18,A,5,,5,CPIC,marginata,F,NA,NA,146,146,137,53,410,0,R,300,300,Y,Y,Y,plastron blotch faint
24,1,6/8/18,A,5,,5,CPIC,marginata,M,NA,NA,115,115,106,38,170,0,N,44,44,Y,Y,Y,plastron blotch faint
25,1,6/8/18,A,8,,8,CPIC,marginata,F,NA,NA,142,144,128,48,330,3,N,50,50,Y,Y,Y,
26,1,6/9/18,A,2,,2,CPIC,marginata,F,NA,NA,153,153,143,53,410,0,N,42,42,Y,Y,Y,divet in 3rd vertebral scute
27,1,6/9/18,A,3,,3,CPIC,marginata,M,NA,NA,135,135,123,46,280,0,R,24,24,Y,N,N,divet in marginal scute 400; right pectoral damage
28,1,6/9/18,A,4,,4,CPIC,marginata,F,NA,NA,144,146,137,50,380,0,R,72,72,Y,N,N,damage to marginal scutes 1 and 1000
29,1,6/9/18,A,4,,4,CPIC,marginata,F,NA,NA,143,143,133,53,365,1,N,79,79,Y,Y,Y,
30,2,6/9/18,A,4,,4,CPIC,marginata,M,NA,NA,103,103,96,34,140,0,N,102,102,Y,Y,Y,
31,2,6/9/18,A,5,,5,CPIC,marginata,F,NA,NA,117,117,112,42,225,1,N,107,107,Y,N,N,rear marginal scutes split a little
32,2,6/9/18,A,5,,5,CPIC,marginata,M,NA,NA,132,132,117,43,280,0,N,104,104,Y,N,N,
33,2,6/9/18,A,5,,5,CPIC,marginata,F,NA,NA,139,139,123,43,290,0,R,47,47,Y,N,N,scar on left bridge
34,2,6/9/18,A,5,,5,CPIC,marginata,F,NA,NA,145,145,137,52,400,0,R,70,70,Y,N,N,abrasions on rear marginal scutes
35,2,6/9/18,A,5,,5,CPIC,marginata,M,NA,NA,136,137,123,39,250,0,R,71,71,Y,N,N,plastron blotch faint; divet in right anal scute
36,2,6/9/18,A,7,,7,CSER,NA,M,105,111,310,321,223,131,6450,7,N,120,,Y,N,N,"back left claws short, scar/coloration mark on tail"
37,2,6/9/18,A,7,,7,CPIC,marginata,F,NA,NA,145,145,134,54,375,4,N,101,101,Y,N,N,
38,2,6/9/18,A,8,,8,CPIC,marginata,M,NA,NA,104,104,94,36,150,0,N,106,106,Y,N,N,plastron blotch faint
39,2,6/9/18,A,8,,8,CPIC,marginata,M,NA,NA,115,115,104,39,180,0,R,90,90,Y,N,N,
40,2,6/10/18,A,5,,5,SODO,NA,F,NA,NA,108,108,83,46,210,11,N,1,1,Y,Y,Y,
41,2,6/10/18,A,6,,6,CSER,NA,F,97,50,265,274,189,106,4180,0,R,700,700,Y,Y,Y,damage between marginal scutes 100 and 200
42,2,6/10/18,A,6,,6,CPIC,marginata,F,NA,NA,150,150,140,52,425,0,N,23,23,Y,Y,Y,
