""	"trap"	"y"	"x"
"1"	"A1"	39.5874442	-78.7405028
"2"	"A2"	39.58752735	-78.7402547
"3"	"A3"	39.58767436	-78.73998036
"4"	"A4"	39.58775676	-78.73971733
"5"	"A5"	39.58781661	-78.73947929
"6"	"A6"	39.58788425	-78.73918315
"7"	"A7"	39.58790679	-78.73888845
"8"	"A8"	39.58794669	-78.73857345
"9"	"C1"	39.56192449	-78.71187785
"10"	"C2"	39.56172081	-78.71180383
"11"	"C3"	39.56145326	-78.71170484
"12"	"C4"	39.56125947	-78.71169663
"13"	"C5"	39.56106811	-78.71153503
"14"	"C6"	39.56092696	-78.71147828
"15"	"C7"	39.56076074	-78.71135591
"16"	"C8"	39.56053209	-78.71098652
"17"	"C9"	39.56052563	-78.71086959
"18"	"C10"	39.56039395	-78.71050187
"19"	"D1"	39.54075943	-78.66519785
"20"	"D2"	39.54073261	-78.66497766
"21"	"D3"	39.54064024	-78.66470793
"22"	"D4"	39.54059179	-78.66433779
"23"	"D5"	39.54053907	-78.66411776
"24"	"D6"	39.5404793	-78.66386907
"25"	"D7"	39.54049942	-78.66357369
"26"	"D8"	39.54041325	-78.66332299
"27"	"E1"	39.5406772	-78.6160224
"28"	"E2"	39.54047972	-78.61584739
"29"	"E3"	39.54033505	-78.61561638
"30"	"E4"	39.5403125	-78.61534607
"31"	"E5"	39.54020253	-78.61512654
"32"	"E6"	39.54011025	-78.61480879
"33"	"E7"	39.53998402	-78.61457753
"34"	"E8"	39.53993817	-78.61425416
"35"	"E9"	39.53988075	-78.61397554
"36"	"E10"	39.53985376	-78.6137152
"37"	"E11"	39.53989006	-78.6134096
"38"	"E12"	39.53987497	-78.61314464
"39"	"E13"	39.53979601	-78.61283795
"40"	"E14"	39.53986374	-78.61258306
"41"	"F1"	39.6186165	-78.73317811
"42"	"F2"	39.61836613	-78.73299161
"43"	"F3"	39.6182119	-78.73294677
"44"	"F4"	39.61795902	-78.73276949
"45"	"F5"	39.617754415	-78.732731645
"46"	"F6"	39.61754981	-78.7326938
"47"	"F7"	39.61730842	-78.73254628
"48"	"G1"	39.53229337	-78.59102782
"49"	"G2"	39.53219321	-78.59114768
"50"	"G3"	39.53190017	-78.59093713
"51"	"G4"	39.53166531	-78.59095749
"52"	"G5"	39.53152249	-78.59082003
"53"	"G6"	39.53136348	-78.59057427
"54"	"G7"	39.53116508	-78.59052331
"55"	"H1"	39.5600974	-78.7103676
"56"	"H2"	39.56000646	-78.71003643
"57"	"H3"	39.55994753	-78.70988321
"58"	"I1"	39.56265271	-78.71213232
"59"	"I2"	39.56241676	-78.7120765
"60"	"I3"	39.56220612	-78.71201145
"61"	"J1"	39.53993205	-78.60704002
"62"	"J2"	39.53993523	-78.60678957
"63"	"J3"	39.53990037	-78.60647877
"64"	"J4"	39.53987715	-78.60616093
"65"	"J5"	39.53988402	-78.6058772
"66"	"J6"	39.53988142	-78.6056063
"67"	"J7"	39.53987262	-78.60527965
"68"	"J8"	39.53990699	-78.60500657
"69"	"J9"	39.53986642	-78.60471387
"70"	"J10"	39.53984513	-78.60440827
"71"	"K1"	39.56518387	-78.72292528
"72"	"K2"	39.56501012	-78.72279645
"73"	"K3"	39.56487944	-78.72255396
"74"	"K4"	39.56479956	-78.72227677
"75"	"K5"	39.56469404	-78.72197603
"76"	"K6"	39.56471759	-78.72178861
"77"	"K7"	39.56475925	-78.72139106
"78"	"K8"	39.56467761	-78.72112786
"79"	"K9"	39.56466839	-78.72088864
"80"	"K10"	39.56458692	-78.72060223
"81"	"L1"	39.55197324	-78.69163379
"82"	"L2"	39.55188372	-78.69154561
"83"	"L3"	39.55172572	-78.6913312
"84"	"L4"	39.5515953	-78.69113834
"85"	"L5"	39.55146044	-78.69091915
"86"	"L6"	39.55132222	-78.69057859
"87"	"L7"	39.55121661	-78.69035035
"88"	"L8"	39.55110664	-78.69005498
"89"	"L9"	39.55100748	-78.6898062
"90"	"L10"	39.55091293	-78.68954569
"91"	"M1"	39.53100633	-78.58228549
"92"	"M2"	39.53082955	-78.58211467
"93"	"M3"	39.53079402	-78.58176271
"94"	"M4"	39.53075822	-78.58155141
"95"	"M5"	39.53067868	-78.58126005
"96"	"M6"	39.53061984	-78.58099502
"97"	"M7"	39.53047332	-78.58068195
"98"	"M8"	39.53041046	-78.58041591
"99"	"M9"	39.53044248	-78.58005708
"100"	"M10"	39.53030837	-78.57981007
"101"	"M11"	39.53017493	-78.57959859
"102"	"M12"	39.53010117	-78.57927564
"103"	"N1"	39.52493364	-78.5651036
"104"	"N2"	39.52454589	-78.56468341
"105"	"N3"	39.52450817	-78.5643929
"106"	"N4"	39.52445922	-78.56413289
"107"	"N5"	39.52448579	-78.56387196
"108"	"N6"	39.52441899	-78.56358144
"109"	"N7"	39.52445202	-78.56329478
"110"	"N8"	39.5244039	-78.56296169
"111"	"N9"	39.52444179	-78.56266958
"112"	"N10"	39.52437608	-78.56242751
"113"	"O1"	39.52330965	-78.54803285
"114"	"O2"	39.52322323	-78.54779522
"115"	"O3"	39.52326313	-78.54746028
"116"	"O4"	39.52323245	-78.54718108
"117"	"O5"	39.52326237	-78.54683298
"118"	"O6"	39.52318652	-78.5465956
"119"	"O7"	39.52317067	-78.54624909
"120"	"O8"	39.52312952	-78.545988
"121"	"O9"	39.52313807	-78.54581156
"122"	"O10"	39.52317017	-78.54550922
